id,issue,name,rules,public,year
513,B 74/93,BILD,8,1,1993
514,B 75/93,SUPER ILLU,"2,8",1,1993
515,B 66/91,QUICK,2,0,1992
516,B 68/91,HÖCHSTER KREISBLATT,9,0,1992
517,B 71/91,BILD AM SONNTAG,8,0,1992
518,B 6/92,BILD,8,1,1992
519,B 14/92,BILD,13,0,1992
520,Regensburg) (B 15/92,DIE WOCHE,8,1,1992
521,B 18/92,STANDORTPRESSE/HALLER TAGEBLATT,7,0,1992
522,B 25/92,BILD,8,1,1992
523,B 32/92,TEMPO,8,1,1992
524,B 38/92,TZ,2,0,1992
525,B 39/92,SUPER ILLU,8,0,1992
526,B 49/92,BILD,"4,9",0,1992
527,B 51/92,PLAYBOY,9,0,1992
528,B 2/91,COUPÉ,"12,14",0,1991
529,B 21/91,QUICK,2,0,1991
530,B 12/91,ABENDZEITUNG,2,0,1991
531,B 20/91,BUNTE,8,0,1991
532,B 27/91,SUPER,1,0,1991
533,B 32/91,MITTELDEUTSCHER EXPRESS,8,0,1991
534,B 47/91,BILD,2,0,1991
535,B 47/91,FREIZEIT REVUE,1,0,1991
536,B 49/91,DEGGENDORFER ZEITUNG,8,0,1991
537,B 51/91,FISHTOWN NEWS,"8,11",0,1991
538,B 54/91,SUPER,8,1,1991
539,B 8/90,HAMBURGER MORGENPOST,4,0,1990
540,B 14/90,ROTHENBURGER KREISZEITUNG,9,0,1990
541,B 17/90,MITTELBAYERISCHE ZEITUNG,"2,10",0,1990
542,B 24/90,DILL-POST,10,0,1990
543,B 29/90,ABENDZEITUNG,13,1,1990
544,B 31/90,TZ,7,0,1990
545,B 59/90,MITTELBAYERISCHE ZEITUNG,12,0,1990
546,B 70/90,MÜNCHNER MERKUR,12,0,1990
547,B 91/90,FRANKFURTER NEUE PRESSE,"1,12",0,1990
548,B 98/90,DARMSTÄDTER ECHO,8,1,1990
549,B 51/87,TEMPO,4,0,1989
550,B 4/89,B.Z.,13,0,1989
551,B 7/89,HERSFELDER ZEITUNG,10,1,1989
552,B 11/89,FULDAER-ZEITUNG,7,0,1989
553,B 26/89,TITANIC,4,0,1989
554,B 40/89,WEINHEIMER NACHRICHTEN,9,0,1989
555,B 32/89,EXPRESS,2,1,1989
556,B 57/89,ALLGÄUER ANZEIGENBLATT,"2,13",1,1989
557,B 41/87,WIENER,4,0,1988
558,B 62/87,BILD,8,1,1988
559,B 1/88,BELLA,1,0,1988
560,B 33/88,BWZ,7,0,1988
561,B 45/88,BUNTE,2,0,1988
562,B 49/88,FRAU MIT HERZ,"2,14",0,1988
563,B 59/88,BUNTE,"2,8",1,1988
564,B24/87,BILD,8,1,1987
565,B 39/87,JA,1,1,1987
566,B 42/87,MÜNCHNER MERKUR,7,0,1987
567,B 44/87,ABENDPOST NACHTAUSGABE,"1,2",0,1987
568,B 46/87,BILD,"1,2",0,1987
569,B 56/87,DER SPIEGEL,2,0,1987
570,B 60/87,STERN,"4,8",0,1987
571,B 27/86,HEIM UND WELT,7,0,1986
572,B 38/86,WIENER,4,0,1986
573,B 42/86,BILD,"8,12",0,1986
574,B 67/86,BAD ORBER ANZEIGER,"7,8",0,1986
