id,issue,name,rules,public,year
119,BK1-183/08,IN,7,0,2009
120,"BK2-72-74/09, 86/09",BILD,"11,8",0,2009
121,BK2-90/09,BILD Online,11,0,2009
122,BK2-314/08,MYSELF,7,0,2009
123,BK2-42/09,BILD,2,0,2009
124,BK2-53+54/09,PRISMA,7,0,2009
125,BK1-63/09,BILD,"8, 2",1,2009
126,BK2-71 +75-09,BILD Online,8,1,2009
127,BK2-317/08,BILD,"8,13",1,2009
128,BK2-43/09,TAZ,"2,8",1,2009
129,BK2-49/09,SÄCHSISCHE ZEITUNG + ONLINE,8,1,2009
130,BK1-224/09,BILD Online,"1,8",0,2009
131,BK1-231-233/09,BILD,"1,11",0,2009
132,BK1-239/09,DAS NEUE BLATT,2,0,2009
133,BK1-234-09,SCHWÄBISCHE ZEITUNG,8,0,2009
134,BK2-181-09,PRISMA,7,0,2009
135,BK2-249-09,BILD Online,11,0,2009
136,BK2-250-09,BILD Online,"8,11",0,2009
137,BK1-311/09,WELT Online,7,0,2009
138,BK1-354/09,WELT AM SONNTAG,7,0,2009
139,BK1-358/09,OFFENBACH POST-Online,12,0,2009
140,BK1-369/09,THÜRINGER ALLGEMEINE,"1,6",0,2009
141,BK2-316/09,BILD Online,8,1,2009
142,Sarstedter Anzeiger) (BK2-328/09,HILDESHEIMER ALLGEMEINE ZEITUNG,8,1,2009
143,BK2-263/07,GONG,7,0,2008
144,BK2-264/07,IN,7,0,2008
145,BK1-33/08,MARBURGER NEUE ZEITUNG,2,1,2008
146,Bremen) (BK2-221/07,BILD,"1,2,8",1,2008
147,BK1-56/08,DER NEUE TAG,"6,1",0,2008
148,BK1-69/08,NORDKURIER,"13, 8",0,2008
149,BK2-78/08,AUDIMAX,7,0,2008
150,BK2-105/08,ERGOTHERAPIE UND REHABILITATION,"1,7",0,2008
151,BK2-129/08,KICKER,7,0,2008
152,BK2-193/08,MITTELBAYERISCHE ZEITUNG,7,0,2008
153,BK2-197/08,DAS EINFAMILIENHAUS,7,0,2008
154,BK1-200/08,BORKUMER ZEITUNG,8,1,2008
155,BK2-41/08,BUNTE,7,0,2008
156,BK1-142/08,SCHLESWIGER NACHRICHTEN,2,0,2008
157,"BK2-232, 233, 234, 235, 236/08",BILD,"11,8",0,2008
158,BK2-251/08,ANGELWOCHE,7,0,2008
159,BK2-254/08,HAMBURGER MORGENPOST,2,0,2008
160,BK2-318/06,KÖLNER STADT-ANZEIGER,7,0,2007
161,BK2-320/06,NORDWEST-ZEITUNG,7,0,2007
162,BK2-321/06,TV HÖREN UND SEHEN,7,0,2007
163,BK1-327/06,DRESDNER MORGENPOST,8,0,2007
164,BK1-355/06,GO LONGLIFE,7,0,2007
165,BK1-357/06,SUGAR,7,0,2007
166,BK1-362/06,SCHWARZWÄLDER BOTE,"2,11",0,2007
167,BK1-364/06,RTV,7,0,2007
168,BK2-6/07,BILD,7,0,2007
169,BK2-9/07,BILD,"1,11,12",0,2007
170,BK2-16/07,TV HÖREN UND SEHEN,7,0,2007
171,BK1-18/07,MÜNSTERSCHE ZEITUNG,8,0,2007
172,Bremen) (BK1-194/06,BILD,"13,2",1,2007
173,BK2-43 und 44/07,RUNDBLICK NORD-REPORT,12,0,2007
174,BK2-52/07,NEUE WESTFÄLISCHE,7,0,2007
175,Hamburg) (BK2-57/07,BILD,8,1,2007
176,BK1-77/07,AKTIV RADFAHREN,7,0,2007
177,BA2-4/07,SONNTAG AKTUELL,8,1,2007
